ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC

School Name,State Name [Public School] Latest available year,State Name [Public School] 2016-17,School ID (12-digit) - NCES Assigned [Public School] Latest available year,Location City [Public School] 2016-17,Location State Abbr [Public School] 2016-17,Location ZIP [Public School] 2016-17,Grade 12 offered [Public School] 2016-17,Grade 11 offered [Public School] 2016-17,Pupil/Teacher Ratio [Public School] 2016-17
1 LT CHARLES W. WHITCOMB SCHOOL,Massachusetts,MASSACHUSETTS,250732002639,Marlborough,MA ,01752,2-No,2-No,11.22
100 ACADEMY OF ENGINEERING AND TECHNOLOGY ES,Nevada,NEVADA,320006000670,North Las Vegas,NV ,89032,2-No,2-No,21.28
100 ACADEMY OF ENGINEERING AND TECHNOLOGY MS,Nevada,NEVADA,320006000756,North Las Vegas,NV ,89032,2-No,2-No,39.33
10TH STREET SCHOOL,Washington,WASHINGTON,530486002475,Marysville,WA ,98271,2-No,2-No,24.79
112 ALC INDEPENDENT STUDY,Minnesota,MINNESOTA,270819004415,CHASKA,MN ,55317,1-Yes,1-Yes,†
112 ALC MIDDLE SCHOOL,Minnesota,MINNESOTA,270819004622,CHASKA,MN ,55318,2-No,2-No,742.31
12TH STREET ELEMENTARY,Michigan,MICHIGAN,262895007802,PORTAGE,MI ,49024,1-Yes,1-Yes,18.62
18+ PROGRAM,NEBRASKA,NEBRASKA,318009002335,HASTINGS,NE ,68901,1-Yes,1-Yes,0.00
1R ELEMENTARY,Nebraska,NEBRASKA,317458000209,GRAND ISLAND,NE ,68803,2-No,2-No,13.31
21ST CENTURY ACADEMY,Kentucky,KENTUCKY,210115002241,Hopkinsville,KY ,42240,1-Yes,1-Yes,†
21ST CENTURY CHARTER SCH OF GARY,Indiana,INDIANA,180004602162,Gary,IN ,46402,1-Yes,1-Yes,30.62
21ST CENTURY CYBER CS,Pennsylvania,PENNSYLVANIA,420009100597,Downingtown,PA ,19335,1-Yes,1-Yes,22.09
21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,TEXAS,TEXAS,484496013299,WESLACO,TX ,78596,2-No,2-No,36.42
21ST CENTURY ESCHOOL,Wisconsin,WISCONSIN,550951002818,Middleton,WI ,53562,1-Yes,1-Yes,21.92
21ST CENTURY LEARNING ACADEMY/KIOWA COUNTY,Kansas,KANSAS,200672002055,Greensburg,KS ,67054,1-Yes,1-Yes,59.66
21ST CENTURY LEARNING INSTITUTE,CALIFORNIA,CALIFORNIA,060429013779,Beaumont,CA ,92223,1-Yes,1-Yes,29.19
21ST CENTURY PREPARATORY SCHOOL,Wisconsin,WISCONSIN,550004502575,Racine,WI ,53404,2-No,2-No,16.63
21ST CENTURY PRIMARY CENTER,Illinois,ILLINOIS,173081003429,Park Forest,IL ,60466,2-No,2-No,12.00
21ST CENTURY SKILLS ACADEMY,Massachusetts,MASSACHUSETTS,251251002790,West Springfield,MA ,01089,1-Yes,1-Yes,3.64
270 - HAP - IS,Minnesota,MINNESOTA,270002504573,HOPKINS,MN ,55305,1-Yes,1-Yes,0.00
270 ALICE SMITH ELEMENTARY  TS,Minnesota,†,270002502920,†,†,†,†,†,†
270 EISENHOWER ELEMENTARY TS,Minnesota,†,270002503029,†,†,†,†,†,†
270 GATEWOOD ELEMENTARY  TS,Minnesota,†,270002503028,†,†,†,†,†,†
270 HOPKINS ALTERNATIVE,Minnesota,MINNESOTA,270002502875,MINNETONKA,MN ,55305,1-Yes,1-Yes,†
270 HOPKINS IS,Minnesota,MINNESOTA,270002503114,HOPKINS,MN ,55305,1-Yes,1-Yes,3.85
270 HOPKINS NORTH JR HIGH ALC,Minnesota,MINNESOTA,270002503397,MINNETONKA,MN ,55305,1-Yes,1-Yes,†
270 HOPKINS NORTH JR HIGH TS,Minnesota,†,270002503122,†,†,†,†,†,†
270 HOPKINS WEST JR HIGH ALC,Minnesota,MINNESOTA,270002503396,MINNETONKA,MN ,55305,2-No,2-No,†
270 HOPKINS WEST JR HIGH TS,Minnesota,†,270002503119,†,†,†,†,†,†
270 MEADOWBROOK ELEM - TS,Minnesota,†,270002504079,†,†,†,†,†,†
270 TANGLEN ELEMENTARY - TS,Minnesota,†,270002503257,†,†,†,†,†,†
272 CEDAR RIDGE EL TS,Minnesota,†,270002504083,†,†,†,†,†,†
272 CENTRAL MID SCH TS,Minnesota,†,270002504082,†,†,†,†,†,†
272 CENTRAL MIDDLE SCH. ALT,Minnesota,MINNESOTA,270002504077,EDEN PRAIRIE,MN ,55344,2-No,2-No,0.00
272 EAGLE HGTS SPANISH IMMERSION-TS,Minnesota,†,270002503636,†,†,†,†,†,†
272 EDEN LAKE EL TS,Minnesota,†,270002504084,†,†,†,†,†,†
272 FOREST HILLS EL TS,Minnesota,†,270002504085,†,†,†,†,†,†
272 OAK POINT INT TS,Minnesota,†,270002504086,†,†,†,†,†,†
272 PRAIRIE VIEW EL TS,Minnesota,†,270002504087,†,†,†,†,†,†
273 CONCORD EL TS,Minnesota,†,270002502928,†,†,†,†,†,†
273 CORNELIA EL TS,Minnesota,†,270002502929,†,†,†,†,†,†
273 COUNTRYSIDE EL TS,Minnesota,†,270002502930,†,†,†,†,†,†
273 CREEK VALLEY EL TS,Minnesota,†,270002502931,†,†,†,†,†,†
273 EDINA PUBLIC TS,Minnesota,†,270002502936,†,†,†,†,†,†
273 HIGHLANDS EL TS,Minnesota,†,270002502932,†,†,†,†,†,†
273 NORMANDALE EL TS,Minnesota,†,270002502933,†,†,†,†,†,†
273 SO VIEW MIDDLE TS,Minnesota,†,270002502934,†,†,†,†,†,†
273 VALLEY VIEW MIDDLE TS,Minnesota,†,270002502935,†,†,†,†,†,†
276 MINNETONKA COMPASS,Minnesota,MINNESOTA,270002502001,MINNETONKA,MN ,55345,1-Yes,1-Yes,0.00
276 MINNETONKA COMPASS EXT YR,Minnesota,MINNESOTA,270002503649,MINNETONKA,MN ,55345,1-Yes,1-Yes,†
276 MINNETONKA HS IS,Minnesota,MINNESOTA,270002503113,MINNETONKA,MN ,55345,1-Yes,1-Yes,0.00
277 - GRANDVIEW MIDDLE SCHOOL -TS,Minnesota,†,270002503557,†,†,†,†,†,†
277 - HILLTOP ELEMENTARY - TS,Minnesota,†,270002503558,†,†,†,†,†,†
277 - SHIRLEY HILLS ELEMENTARY -TS,Minnesota,†,270002503556,†,†,†,†,†,†
277 WESTONKA AREA LEARNING ACADEMY,Minnesota,MINNESOTA,270002503554,MINNETRISTA,MN ,55364,1-Yes,1-Yes,46.67
277-GRANDVIEW MIDDLE - ALC,Minnesota,MINNESOTA,270002504221,MOUND,MN ,55364,2-No,2-No,†
280 CENTENNIAL ELEMENTARY TS,Minnesota,†,270002503124,†,†,†,†,†,†
280 RICHFIELD INT ELEM TS,Minnesota,†,270002503126,†,†,†,†,†,†
280 RICHFIELD MIDDLE SCHOOL TS,Minnesota,†,270002503125,†,†,†,†,†,†
280 SHERIDAN HILLS ELEMENTARY TS,Minnesota,†,270002503123,†,†,†,†,†,†
280-RICHFIELD DUAL LANGUAGE SCHOOL,Minnesota,†,270002504254,†,†,†,†,†,†
283 AQUILA LEARNING CNTR TS.,Minnesota,†,270002502908,†,†,†,†,†,†
283 DISTRICT SUMMER PROGRAMS - TS,Minnesota,†,270002503703,†,†,†,†,†,†
283 MEADOWBROOK ELEM - TS,Minnesota,†,270002503669,†,†,†,†,†,†
283 PARK SPANISH IMMERSION TS,Minnesota,†,270002503400,†,†,†,†,†,†
283 PERSPECTIVE SLP TS,Minnesota,†,270002503027,†,†,†,†,†,†
283 PETER HOBARD EL. TS.,Minnesota,†,270002502910,†,†,†,†,†,†
283 ST LOUIS PK INDEPENDENT STUDY,Minnesota,MINNESOTA,270002503562,SAINT LOUIS PARK,MN ,55416,1-Yes,1-Yes,†
283 ST. LOUIS PARK LRN CTR TS.,Minnesota,†,270002502911,†,†,†,†,†,†
283 SUSAN LINDGREN TS.,Minnesota,†,270002502912,†,†,†,†,†,†
283-IND STDY 15 AND UNDER - I.S.,Minnesota,MINNESOTA,270002504216,SAINT LOUIS PARK,MN ,55426,1-Yes,1-Yes,†
283-ST. LOUIS PARK ALC,Minnesota,MINNESOTA,270002503561,SAINT LOUIS PARK,MN ,55416,1-Yes,1-Yes,†
30TH AVENUE SCHOOL (THE) (G & T CITYWIDE),NEW YORK,NEW YORK,360010206477,ASTORIA,NY ,11102,2-No,2-No,23.37
360 HIGH SCHOOL,RHODE ISLAND,RHODE ISLAND,440090000492,Providence,RI ,02906,2-No,2-No,14.18
3B JUVENILE DETENTION CENTER,Idaho,IDAHO,160153000605,IDAHO FALLS,ID ,83401,1-Yes,1-Yes,17.60
3D ACADEMY,Texas,TEXAS,481739012205,DONNA,TX ,78537,1-Yes,1-Yes,11.50
3RD H S,Texas,TEXAS,484653012331,WYLIE,TX ,75098,–,–,†
4-J ELEMENTARY SCHOOL,Wyoming,WYOMING,560147000454,Gillette,WY ,82718,2-No,2-No,9.45
4092 - WATERSHED HIGH SCHOOL ALC,MINNESOTA,MINNESOTA,270002504811,RICHFIELD,MN ,55423,1-Yes,1-Yes,†
4122 - EAGLE RIDGE ACADEMY - IS,MINNESOTA,MINNESOTA,270002504823,MINNETONA,MN ,55343,1-Yes,1-Yes,†
4126 - PRAIRIE SEEDS ACADEMY - IS,Minnesota,MINNESOTA,270002504476,BROOKLYN PARK,MN ,55428,1-Yes,1-Yes,†
47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE),New York,NEW YORK,360007705767,NEW YORK,NY ,10010,2-No,2-No,4.88
4K CENTER FOR LITERACY,WISCONSIN,WISCONSIN,550747003029,Kimberly,WI ,54136,2-No,2-No,42.11
4K COMMUNITY SCHOOL,WISCONSIN,WISCONSIN,550189002987,Burlington,WI ,53105,2-No,2-No,38.00
4K COMMUNITY-BASED,Wisconsin,WISCONSIN,551266002889,Reedsburg,WI ,53959,2-No,2-No,59.33
4K MCFARLAND,Wisconsin,WISCONSIN,550891002902,McFarland,WI ,53558,2-No,2-No,33.11
4K PK OFF SITE,Wisconsin,WISCONSIN,550852002475,Madison,WI ,53703,2-No,2-No,799.00
518 VIRTUAL INSTRUCTION SECONDARY,Minnesota,MINNESOTA,274416004676,WORTHINGTON,MN ,56187,1-Yes,1-Yes,†
51ST AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE),New York,NEW YORK,360009805726,ELMHURST,NY ,11373,2-No,2-No,15.27
54TH STREET ACADEMY,MICHIGAN,MICHIGAN,262016008622,Grand Rapids,MI ,49548,1-Yes,1-Yes,22.50
6-12TH GRADE BUILDING,Minnesota,MINNESOTA,270015000652,GRACEVILLE,MN ,56240,1-Yes,1-Yes,10.78
622 ALTERNATIVE MIDDLE/HIGH SCHOOL,Minnesota,MINNESOTA,272385001044,NORTH ST PAUL,MN ,55109,1-Yes,1-Yes,†
622 TARGETED SERVICES,Minnesota,†,272385003085,†,†,†,†,†,†
6TH AND 7TH GRADE ACADEMY,Oklahoma,OKLAHOMA,402097000599,Muskogee,OK ,74403,2-No,2-No,17.31
6TH GRADE CENTER,Missouri,MISSOURI,293144003207,Waynesville,MO ,65583,2-No,2-No,14.30
6TH GRADE CENTER,Texas,TEXAS,482172005738,GREENVILLE,TX ,75401,2-No,2-No,13.68
7 RIVERS COMMUNITY HIGH,Wisconsin,WISCONSIN,550753002950,La Crosse,WI ,54601,1-Yes,1-Yes,10.00
70 ONLINE,Colorado,COLORADO,080615006496,PUEBLO,CO ,81006,1-Yes,1-Yes,28.91
7TH AND 8TH GRADE CENTER,Missouri,MISSOURI,292265001244,ST LOUIS,MO ,63121,2-No,2-No,12.92
7TH H S - NORTHEAST,Texas,TEXAS,483808012373,ROUND ROCK,TX ,78681,–,–,†
8TH GRADE ACADEMY,Illinois,ILLINOIS,170804006210,Cahokia,IL ,62206,2-No,2-No,15.28
916 MAHTOMEDI ACADEMY,Minnesota,MINNESOTA,270226404430,WHITE BEAR LAKE,MN ,55110,1-Yes,1-Yes,14.93
917 DASH,Minnesota,MINNESOTA,270002603897,ROSEMOUNT,MN ,55068,1-Yes,1-Yes,2.53
917 DCALS MAIN,Minnesota,MINNESOTA,270002602155,ROSEMOUNT,MN ,55068,1-Yes,1-Yes,9.25
917 DCALS MAIN EXTENDED DAY EDOP,Minnesota,MINNESOTA,270002604253,ROSEMOUNT,MN ,55068,1-Yes,1-Yes,12.50
917 DCALS NORTH,Minnesota,MINNESOTA,270002604250,WEST SAINT PAUL,MN ,55118,1-Yes,1-Yes,14.74
917 DCALS NORTH EXTENDED DAY (EDOP),Minnesota,MINNESOTA,270002604256,WEST SAINT PAUL,MN ,55118,1-Yes,1-Yes,†
917 DEAF/HARD OF HEARING,Minnesota,MINNESOTA,270002602124,BURNSVILLE,MN ,55337,1-Yes,1-Yes,2.45
917 IDEA,Minnesota,MINNESOTA,270002602121,ROSEMOUNT,MN ,55068,1-Yes,1-Yes,3.92
917 NEW CHANCE,MINNESOTA,MINNESOTA,270002604798,HASTINGS,MN ,55033,1-Yes,1-Yes,4.41
917 PACES,Minnesota,MINNESOTA,270002602125,ROSEMOUNT,MN ,55068,1-Yes,1-Yes,5.29
917 RIVERSIDE SCHOOL,Minnesota,MINNESOTA,270002602600,HASTINGS,MN ,55033,1-Yes,1-Yes,9.87
917 SUN,Minnesota,MINNESOTA,270002604218,ROSEMOUNT,MN ,55068,1-Yes,1-Yes,4.88
917 TARGETED SERVICES,Minnesota,†,270002604257,†,†,†,†,†,†
917 TEA,Minnesota,MINNESOTA,270002604371,APPLE VALLEY,MN ,55124,1-Yes,1-Yes,5.29
917 TESA,Minnesota,MINNESOTA,270002602111,ROSEMOUNT,MN ,55068,1-Yes,1-Yes,8.23
A & M CONS H S,Texas,TEXAS,480735000001,COLLEGE STATION,TX ,77840,1-Yes,1-Yes,13.00
A & M CONSOLIDATED MIDDLE,Texas,TEXAS,480735008712,COLLEGE STATION,TX ,77840,2-No,2-No,15.22
A A ANASTASIA ELEMENTARY SCHOOL,New Jersey,NEW JERSEY,340894003908,LONG BRANCH,NJ ,07740,2-No,2-No,11.24
A A GATES ELEMENTARY SCHOOL,New York,NEW YORK,362343003270,PORT BYRON,NY ,13140,2-No,2-No,14.75
A A KINGSTON MIDDLE SCHOOL,New York,NEW YORK,362367003299,POTSDAM,NY ,13676,2-No,2-No,14.88
A B CHANDLER ELEMENTARY SCHOOL,Kentucky,KENTUCKY,210271000573,Corydon,KY ,42406,2-No,2-No,16.27
A B DUNCAN COLLEGIATE EL,Texas,TEXAS,481944001801,FLOYDADA,TX ,79235,2-No,2-No,14.66
A B MCBAY EL,Texas,TEXAS,483042003424,MEXIA,TX ,76667,2-No,2-No,14.77
A B MCDONALD ELEMENTARY SCHOOL,Idaho,IDAHO,160222000390,MOSCOW,ID ,83843,2-No,2-No,17.10
A B SHEPARD HIGH SCH (CAMPUS),Illinois,ILLINOIS,170654000339,Palos Heights,IL ,60463,1-Yes,1-Yes,15.12
A C BLUNT MIDDLE,Texas,TEXAS,480858000225,ARANSAS PASS,TX ,78336,2-No,2-No,15.42
A C HOUGHTON ELEMENTARY SCHOOL,Oregon,OREGON,410852000858,Irrigon,OR ,97844,2-No,2-No,16.97
A C JONES H S,Texas,TEXAS,480972000442,BEEVILLE,TX ,78102,1-Yes,1-Yes,15.67
A C THOMPSON ELEM SCHOOL,Illinois,ILLINOIS,173451003593,Rockford,IL ,61108,2-No,2-No,16.32
A CHESTER REDSHAW SCHOOL,New Jersey,NEW JERSEY,341122003456,NEW BRUNSWICK,NJ ,08901,2-No,2-No,13.42
A D OLIVER MIDDLE SCHOOL,New York,NEW YORK,360558000286,BROCKPORT,NY ,14420,2-No,2-No,10.62
A DREWICZ ELEMENTARY,Massachusetts,MASSACHUSETTS,250711001062,Lynn,MA ,01905,2-No,2-No,14.40
A E ANGIER,Massachusetts,MASSACHUSETTS,250861001356,Waban,MA ,02468,2-No,2-No,11.86
A E BUTLER INT,Texas,TEXAS,483624004074,QUINLAN,TX ,75474,2-No,2-No,17.75
A E R O EDUCATIONAL CENTER,Illinois,ILLINOIS,170002404632,Burbank,IL ,60459,2-No,2-No,3.42
A ENGLISH LANGUAGE SCHOOL,Michigan,†,262628008110,†,†,†,†,†,†
A F AMES ELEM SCHOOL,Illinois,ILLINOIS,173399003491,Riverside,IL ,60546,2-No,2-No,14.08
A F MALONEY,Massachusetts,MASSACHUSETTS,250271501078,Blackstone,MA ,01504,2-No,2-No,14.06
A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,New York,NEW YORK,360273000048,WINDSOR,NY ,13865,2-No,2-No,11.59
A G COX MIDDLE,North Carolina,NORTH CAROLINA,370001201488,Winterville,NC ,28590,2-No,2-No,16.48
A G ELDER EL,Texas,TEXAS,482493006126,JOSHUA,TX ,76058,2-No,2-No,14.94
A G WEST BLACK HILLS HIGH SCHOOL,Washington,WASHINGTON,530910002602,Tumwater,WA ,98512,1-Yes,1-Yes,20.87
A H BUSH ELEMENTARY SCHOOL,Idaho,IDAHO,160153000252,IDAHO FALLS,ID ,83402,2-No,2-No,20.98
A H ROBERTS ELEMENTARY,Tennessee,TENNESSEE,470333001977,Livingston,TN ,38570,2-No,2-No,13.45
A H SNIPES ACADEMY OF ARTS/DES,North Carolina,NORTH CAROLINA,370333001392,Wilmington,NC ,28405,2-No,2-No,10.57
A J JORDAK ELEMENTARY SCHOOL,Ohio,OHIO,390471702692,Middlefield,OH ,44062,2-No,2-No,20.13
A J JORDAK ELEMENTARY SCHOOL,Ohio,OHIO,390471702784,Middlefield,OH ,44062,2-No,2-No,14.67
A J KATZENMAIER ACADEMY,Illinois,ILLINOIS,170011004814,North Chicago,IL ,60064,2-No,2-No,15.46
A J MCMULLEN SCH,Pennsylvania,PENNSYLVANIA,422415006933,Markleysburg,PA ,15459,2-No,2-No,14.14
A J MITCHELL ELEMENTARY SCHOOL,Arizona,ARIZONA,040553000451,Nogales,AZ ,85621,2-No,2-No,21.00
A J SCHMIDT ELEMENTARY SCHOOL,New York,NEW YORK,361656001462,ANGOLA,NY ,14006,2-No,2-No,12.01
A J WEST ELEMENTARY,Washington,WASHINGTON,530003000001,Aberdeen,WA ,98520,2-No,2-No,14.67
A J WINTERS ELEMENTARY SCHOOL,Idaho,IDAHO,160024000016,MONTPELIER,ID ,83254,2-No,2-No,20.98
A K SMITH AREA CAREER CENTER,Indiana,INDIANA,180657000433,Michigan City,IN ,46360,–,–,–
A L BROWN HIGH,North Carolina,NORTH CAROLINA,370243001039,Kannapolis,NC ,28083,1-Yes,1-Yes,16.69
A L HAGEN JUNIOR HIGH SCHOOL,North Dakota,NORTH DAKOTA,380003800131,Dickinson,ND ,58601,2-No,2-No,13.05
A L LOTTS ELEMENTARY,Tennessee,TENNESSEE,470222000076,Knoxville,TN ,37922,2-No,2-No,17.80
A L STANBACK MIDDLE,North Carolina,NORTH CAROLINA,370348001441,Hillsborough,NC ,27278,2-No,2-No,12.86
A L WILSON EL SCH,PENNSYLVANIA,PENNSYLVANIA,420210007575,Fairchance,PA ,15436,2-No,2-No,15.23
A LEAL JR MIDDLE,Texas,TEXAS,482247002251,SAN ANTONIO,TX ,78211,2-No,2-No,13.01
A M COSGROVE MIDDLE SCHOOL,New York,NEW YORK,362778003761,SPENCERPORT,NY ,14559,2-No,2-No,11.61
A M OCHOA EL,Texas,TEXAS,481739001496,DONNA,TX ,78537,2-No,2-No,16.73
A M PATE EL,Texas,TEXAS,481970001898,FORT WORTH,TX ,76119,2-No,2-No,17.27
A M WINDHAM ELEMENTARY SCHOOL,Alabama,ALABAMA,010108001767,Daleville,AL ,36322,2-No,2-No,16.34
A M YEALEY ELEMENTARY SCHOOL,Kentucky,KENTUCKY,210051000079,Florence,KY ,41042,2-No,2-No,15.24
A MACARTHUR BARR MIDDLE SCHOOL,New York,NEW YORK,362019001853,NANUET,NY ,10954,2-No,2-No,17.70
A MACARTHUR BARR MIDDLE SCHOOL 5-6 ACADEMY FOR EXCELLENCE,NEW YORK,NEW YORK,362019006553,NANUET,NY ,10954,2-No,2-No,16.35
A N RICO EL,Texas,TEXAS,484496007002,WESLACO,TX ,78596,2-No,2-No,18.00
A O MARSHALL ELEM SCHOOL,Illinois,ILLINOIS,172058002323,Joliet,IL ,60432,2-No,2-No,17.57
A P BEUTEL EL,Texas,TEXAS,481119000580,LAKE JACKSON,TX ,77566,2-No,2-No,15.32
A P SOLIS MIDDLE,TEXAS,TEXAS,481739017037,DONNA,TX ,78537,2-No,2-No,8.65
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,New York,NEW YORK,360008304305,NEW YORK,NY ,10031,1-Yes,1-Yes,17.81
A PLACE TO GROW,California,CALIFORNIA,062827013394,Ojai,CA ,93023,–,–,–
A T ALLEN ELEMENTARY,North Carolina,NORTH CAROLINA,370053000208,Concord,NC ,28025,2-No,2-No,15.78
A V CATO EL,Texas,TEXAS,481317000815,FORT WORTH,TX ,76114,2-No,2-No,17.44
A VITO MARTINEZ MIDDLE SCHOOL,Illinois,ILLINOIS,174007004037,Romeoville,IL ,60446,2-No,2-No,14.35
A W BEATTIE CAREER CENTER,Pennsylvania,PENNSYLVANIA,428001007041,Allison Park,PA ,15101,1-Yes,1-Yes,–
A W JAMES ELEMENTARY SCHOOL,MISSISSIPPI,MISSISSIPPI,280018701410,DREW,MS ,38737,2-No,2-No,16.60
A W JOHNSON ELEMENTARY SCHOOL,Idaho,IDAHO,160108000196,FIRTH,ID ,83236,2-No,2-No,20.80
A&T FOUR MIDDLE COLLEGE,North Carolina,NORTH CAROLINA,370192002669,Greensboro,NC ,27411,1-Yes,1-Yes,9.65
A+ ACADEMY EL,Texas,TEXAS,480020308758,DALLAS,TX ,75217,1-Yes,1-Yes,16.71
A+ ARTS ACADEMY,Ohio,OHIO,390030504842,Columbus,OH ,43205,2-No,2-No,22.63
A+ CHILDREN'S ACADEMY,Ohio,OHIO,390148005718,Columbus,OH ,43207,2-No,2-No,12.20
A+ UNLIMITED POTENTIAL - MUSEUM DISTRICT,TEXAS,TEXAS,480145313374,HOUSTON,TX ,77098,2-No,2-No,18.15
A+ UNLIMITED POTENTIAL - UNIVERSITY,TEXAS,TEXAS,480145313369,HOUSTON,TX ,77004,2-No,2-No,12.97
A-3 MULTIAGENCY ADOLESCENT PROG,Washington,WASHINGTON,530825002361,Spokane,WA ,99205,1-Yes,1-Yes,5.16
A-C CENTRAL ELEMENTARY SCHOOL,Illinois,ILLINOIS,170010505359,Chandlerville,IL ,62627,2-No,2-No,11.21
A-C CENTRAL HIGH SCHOOL,Illinois,ILLINOIS,170010505357,Ashland,IL ,62612,1-Yes,1-Yes,9.62
A-C CENTRAL MIDDLE SCHOOL,Illinois,ILLINOIS,170010500245,Ashland,IL ,62612,2-No,2-No,14.96
A-TECH HIGH SCHOOL,New York,NEW YORK,360011901913,BROOKLYN,NY ,11222,1-Yes,1-Yes,10.12
A. A. NELSON ELEMENTARY SCHOOL,Louisiana,LOUISIANA,220033000255,Lake Charles,LA ,70605,2-No,2-No,15.86
A. B. HILL ELEMENTARY,Tennessee,TENNESSEE,470014801011,Memphis,TN ,38106,2-No,2-No,13.57
A. BALDWIN MIDDLE SCHOOL,Connecticut,CONNECTICUT,090180000328,Guilford,CT ,06437,2-No,2-No,14.07
A. C. CORCORAN ELEMENTARY,South Carolina,SOUTH CAROLINA,450144000199,North Charleston,SC ,29406,2-No,2-No,16.33
A. C. E.,Arizona,ARIZONA,040463000999,Marana,AZ ,85653,1-Yes,1-Yes,1.21
A. C. FLORA HIGH,South Carolina,SOUTH CAROLINA,450336000952,Columbia,SC ,29204,1-Yes,1-Yes,15.33
A. C. MOORE ELEMENTARY,South Carolina,SOUTH CAROLINA,450336000926,Columbia,SC ,29205,2-No,2-No,12.27
A. C. WHELAN ELEMENTARY SCHOOL,Massachusetts,MASSACHUSETTS,251005001619,Revere,MA ,02151,2-No,2-No,14.32
A. CRAWFORD MOSLEY HIGH SCHOOL,Florida,FLORIDA,120009000067,LYNN HAVEN,FL ,32444,1-Yes,1-Yes,22.86
A. CROSBY KENNETT MIDDLE SCHOOL,New Hampshire,NEW HAMPSHIRE,330249000043,Conway,NH ,03818,2-No,2-No,10.60
A. D. STOWELL ELEM.,Missouri,MISSOURI,291365000587,HANNIBAL,MO ,63401,2-No,2-No,13.53
A. E. ARNOLD ELEMENTARY,California,CALIFORNIA,061044001166,Cypress,CA ,90630,2-No,2-No,27.00
A. E. PHILLIPS LABORATORY SCHOOL,Louisiana,LOUISIANA,220005600750,Ruston,LA ,71272,2-No,2-No,17.91
A. G. A. P. E. TEEN PARENT,Minnesota,MINNESOTA,273384001052,SAINT PAUL,MN ,55104,1-Yes,1-Yes,9.59
A. G. COOK ELEMENTARY,California,CALIFORNIA,061488001834,Garden Grove,CA ,92844,2-No,2-No,21.81
A. H. MORGAN ELEMENTARY,California,CALIFORNIA,063237004995,Rialto,CA ,92376,2-No,2-No,28.38
A. HENDERSON ELEMENTARY,Virginia,VIRGINIA,510313002039,Dumfries,VA ,22025,2-No,2-No,18.84
A. I. PRINCE TECHNICAL HIGH SCHOOL,Connecticut,CONNECTICUT,090000201136,Hartford,CT ,06106,1-Yes,1-Yes,10.27
A. I. ROOT MIDDLE SCHOOL,Ohio,OHIO,390443800365,Medina,OH ,44256,2-No,2-No,20.03
A. IRVIN STUDLEY ELEMENTARY SCHOOL,Massachusetts,MASSACHUSETTS,250219000097,Attleboro,MA ,02703,2-No,2-No,14.19
A. J. BROWN ELEMENTARY SCHOOL,Louisiana,LOUISIANA,220005500740,Grambling,LA ,71245,2-No,2-No,†
A. J. DORSA ELEMENTARY,California,CALIFORNIA,060231000103,San Jose,CA ,95122,2-No,2-No,26.13
A. J. LEWIS GREENVIEW ELEMENTARY,South Carolina,SOUTH CAROLINA,450336000919,Columbia,SC ,29203,2-No,2-No,14.34
A. J. MARTIN ELEM.,Missouri,MISSOURI,291122000385,EAST PRAIRIE,MO ,63845,2-No,2-No,13.54
A. K. SUTER ELEMENTARY SCHOOL,Florida,FLORIDA,120051000811,PENSACOLA,FL ,32503,2-No,2-No,15.10
A. L. CONNER ELEMENTARY,California,CALIFORNIA,061970010780,Orange Cove,CA ,93646,2-No,2-No,25.14
A. L. MEBANE MIDDLE SCHOOL,Florida,FLORIDA,120003000018,ALACHUA,FL ,32615,2-No,2-No,22.00
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,Virginia,VIRGINIA,510003301933,Abingdon,VA ,24210,2-No,2-No,–
A. M. THOMAS MIDDLE,California,CALIFORNIA,062295007772,Lost Hills,CA ,93249,2-No,2-No,18.70
A. M. WINN WALDORF-INSPIRED,California,CALIFORNIA,063384005217,Sacramento,CA ,95827,2-No,2-No,25.34
A. MACEO WALKER MIDDLE,Tennessee,TENNESSEE,470014801939,Memphis,TN ,38116,2-No,2-No,21.67
A. MARIO LOIEDERMAN MIDDLE,Maryland,MARYLAND,240048001446,Silver Spring,MD ,20906,2-No,2-No,14.23
A. MONTOYA ELEMENTARY,New Mexico,NEW MEXICO,350006000017,TIJERAS,NM ,87059,2-No,2-No,14.86
A. PHILIP RANDOLPH ACADEMIES,Florida,FLORIDA,120048000773,JACKSONVILLE,FL ,32209,1-Yes,1-Yes,12.03
A. PHILIP RANDOLPH TECHNICAL HIGH SCHOOL,MICHIGAN,MICHIGAN,260110308700,Detroit,MI ,48235,1-Yes,1-Yes,20.80
A. R. RUCKER MIDDLE,South Carolina,SOUTH CAROLINA,450258001260,Lancaster,SC ,29720,2-No,2-No,13.68
A. RUSSELL KNIGHT ELEMENTARY SCHOOL,New Jersey,NEW JERSEY,340300001422,CHERRY HILL,NJ ,08034,2-No,2-No,14.86
